Name,ADDR,CITY,State,ZIP,County,lat,long,location,,,,,,,,
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,Madison County,34.783368,-86.568502,"Huntsville, AL",,,,,,,,
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,Jefferson County,33.50223,-86.80917,"Birmingham-Hoover, AL",,,,,,,,
Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,Montgomery County,32.362609,-86.17401,"Montgomery, AL",,,,,,,,
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,Madison County,34.722818,-86.63842,"Huntsville, AL",,,,,,,,
Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,Montgomery County,32.364317,-86.295677,"Montgomery, AL",,,,,,,,
University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,35401,Tuscaloosa County,33.206625,-87.529429,"Tuscaloosa, AL",,,,,,,,
The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,Tuscaloosa County,33.2144,-87.545766,"Tuscaloosa, AL",,,,,,,,
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,Tallapoosa County,32.924429,-85.94653,N,,,,,,,,
Athens State University,300 N Beaty St,Athens,AL,35611,Limestone County,34.805625,-86.96514,"Huntsville, AL",,,,,,,,
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,Montgomery County,32.369939,-86.177351,"Montgomery, AL",,,,,,,,
Auburn University,M,Auburn,AL,36849,Lee County,32.604685,-85.482782,"Auburn-Opelika, AL",,,,,,,,
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,Jefferson County,33.515453,-86.853636,"Birmingham-Hoover, AL",,,,,,,,
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,Russell County,32.42391,-85.031485,"Columbus, GA-AL",,,,,,,,
Concordia College Alabama,1712 Broad Street,Selma,AL,36701,Dallas County,32.42443,-87.023531,"Selma, AL",,,,,,,,
South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,Montgomery County,32.342684,-86.216488,"Montgomery, AL",,,,,,,,
Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,Coffee County,31.297496,-85.836956,"Enterprise, AL",,,,,,,,
James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,Baldwin County,30.852045,-87.779758,"Daphne-Fairhope-Foley, AL",,,,,,,,
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3390,Montgomery County,32.384181,-86.21641,"Montgomery, AL",,,,,,,,
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,Etowah County,33.991866,-85.991299,"Gadsden, AL",,,,,,,,
New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,Marshall County,34.27871,-86.196931,"Albertville, AL",,,,,,,,
George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,Dale County,31.316086,-85.46355,"Ozark, AL",,,,,,,,
George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,Cullman County,34.07341,-86.781745,"Cullman, AL",,,,,,,,
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,Dallas County,32.445611,-87.01324,"Selma, AL",,,,,,,,
Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,Jefferson County,33.468105,-86.832299,"Birmingham-Hoover, AL",,,,,,,,
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,Montgomery County,32.350939,-86.285313,"Montgomery, AL",,,,,,,,
Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,Lauderdale County,34.859089,-87.662062,"Florence-Muscle Shoals, AL",,,,,,,,
J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,Madison County,34.772116,-86.573817,"Huntsville, AL",,,,,,,,
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,Elmore County,32.582312,-86.392369,"Montgomery, AL",,,,,,,,
Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,Calhoun County,33.822128,-85.766644,"Anniston-Oxford-Jacksonville, AL",,,,,,,,
Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,Escambia County,31.101995,-87.085829,N,,,,,,,,
Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,Jefferson County,33.652439,-86.707387,"Birmingham-Hoover, AL",,,,,,,,
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,Limestone County,34.65428,-86.949131,"Huntsville, AL",,,,,,,,
Judson College,302 Bibb St,Marion,AL,36756,Perry County,32.630526,-87.316127,N,,,,,,,,
Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,Jefferson County,33.451673,-86.890234,"Birmingham-Hoover, AL",,,,,,,,
University of West Alabama,Station One,Livingston,AL,35470,Sumter County,32.59244,-88.186077,N,,,,,,,,
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,Covington County,31.322947,-86.452262,N,,,,,,,,
Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,Perry County,32.622359,-87.317998,N,,,,,,,,
Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,Jefferson County,33.481306,-86.908605,"Birmingham-Hoover, AL",,,,,,,,
University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,Mobile County,30.793247,-88.128934,"Mobile, AL",,,,,,,,
University of Montevallo,Station 6001,Montevallo,AL,35115-6000,Shelby County,33.10625,-86.865099,"Birmingham-Hoover, AL",,,,,,,,
Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,Colbert County,34.739567,-87.67733,"Florence-Muscle Shoals, AL",,,,,,,,
University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,Lauderdale County,34.80658,-87.680999,"Florence-Muscle Shoals, AL",,,,,,,,
Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,Jackson County,34.545471,-85.911664,"Scottsboro, AL",,,,,,,,
Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,Madison County,34.756628,-86.661628,"Huntsville, AL",,,,,,,,
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,Monroe County,31.488925,-87.326352,N,,,,,,,,
Prince Institute-Southeast,596 W Lamont Rd,Elmhurst,IL,60126,DuPage County,41.928952,-87.962922,"Chicago-Naperville-Elgin, IL-IN-WI",,,,,,,,
Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,Conecuh County,31.46071,-86.964486,N,,,,,,,,
Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,Mobile County,30.693972,-88.056982,"Mobile, AL",,,,,,,,
Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,Jefferson County,33.464578,-86.790932,"Birmingham-Hoover, AL",,,,,,,,
Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,Dallas County,32.420358,-87.033826,"Selma, AL",,,,,,,,
Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,Tuscaloosa County,33.120531,-87.56148,"Tuscaloosa, AL",,,,,,,,
Snead State Community College,102 Elder Street,Boaz,AL,35957-0734,Marshall County,34.201247,-86.169479,"Albertville, AL",,,,,,,,
University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,Mobile County,30.695081,-88.18189,"Mobile, AL",,,,,,,,
Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,Mobile County,30.694751,-88.138199,"Mobile, AL",,,,,,,,
Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35244-2083,Shelby County,33.378935,-86.749045,"Birmingham-Hoover, AL",,,,,,,,
Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35401,Tuscaloosa County,33.199228,-87.585242,"Tuscaloosa, AL",,,,,,,,
Talladega College,627 W Battle St,Talladega,AL,35160,Talladega County,33.434258,-86.113675,"Talladega-Sylacauga, AL",,,,,,,,
H Councill Trenholm State Community College,1225 Air Base Blvd,Montgomery,AL,36108-3199,Montgomery County,32.350109,-86.343057,"Montgomery, AL",,,,,,,,
Troy University,University Avenue,Troy,AL,36082-0001,Pike County,31.800128,-85.950191,"Troy, AL",,,,,,,,
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,Macon County,32.431021,-85.710315,N,,,,,,,,
United States Sports Academy,One Academy Drive,Daphne,AL,36526-7055,Baldwin County,30.639329,-87.91163,"Daphne-Fairhope-Foley, AL",,,,,,,,
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,Walker County,33.835785,-87.265034,"Birmingham-Hoover, AL",,,,,,,,
University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,Anchorage Municipality,61.189554,-149.826135,"Anchorage, AK",,,,,,,,
Alaska Bible College,248 E Elmwood,Palmer,AK,99645,Matanuska-Susitna Borough,61.59843,-149.111341,"Anchorage, AK",,,,,,,,
University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,Fairbanks North Star Borough,64.856483,-147.822943,"Fairbanks, AK",,,,,,,,
University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,Juneau City and Borough,58.38427,-134.636346,"Juneau, AK",,,,,,,,
Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,Anchorage Municipality,61.191235,-149.804242,"Anchorage, AK",,,,,,,,
AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,Kenai Peninsula Borough,60.110727,-149.444573,N,,,,,,,,
Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,Anchorage Municipality,61.195786,-149.840178,"Anchorage, AK",,,,,,,,
Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,Anchorage Municipality,61.181443,-149.856954,"Anchorage, AK",,,,,,,,
University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,AK,99775-5000,Fairbanks North Star Borough,64.858626,-147.82863,"Fairbanks, AK",,,,,,,,
Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021-1641,Maricopa County,33.580985,-112.113845,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Collins College,4750 S 44th Place,Phoenix,AZ,85040,Maricopa County,33.40334,-111.98646,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,Maricopa County,33.602593,-111.976357,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,Pima County,32.235657,-110.927187,"Tucson, AZ",,,,,,,,
Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,Maricopa County,33.620887,-112.180861,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
American Indian College Inc,10020 N 15th Ave,Phoenix,AZ,85021,Maricopa County,33.577738,-112.092247,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729,Maricopa County,33.442262,-112.175304,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Carrington College-Phoenix,8503 N 27th Ave.,Phoenix,AZ,85051-4063,Maricopa County,33.560821,-112.115546,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Carrington College-Mesa,"1001 Southern Ave., Ste. 130",Mesa,AZ,85210,Maricopa County,33.39207,-111.855281,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Carrington College-Tucson,"201 N. Bonita Ave., Suite 101",Tucson,AZ,85745,Pima County,32.224,-110.982961,"Tucson, AZ",,,,,,,,
CollegeAmerica-Flagstaff,399 Malpais,Flagstaff,AZ,86001,Coconino County,35.194607,-111.65739,"Flagstaff, AZ",,,,,,,,
Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,Pima County,32.237253,-110.872305,"Tucson, AZ",,,,,,,,
Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,Maricopa County,33.537249,-112.157344,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,Maricopa County,33.525384,-112.15007,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,85287,Maricopa County,33.422247,-111.934629,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834,Yuma County,32.689306,-114.495968,"Yuma, AZ",,,,,,,,
University of Arizona,1401 E University,Tucson,AZ,85721-0066,Pima County,32.232071,-110.950769,"Tucson, AZ",,,,,,,,
Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,Pima County,32.252384,-110.927321,"Tucson, AZ",,,,,,,,
Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85128-9030,Pinal County,32.957092,-111.652501,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,Pima County,32.236736,-110.895086,"Tucson, AZ",,,,,,,,
Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,Mohave County,34.475275,-114.328134,"Lake Havasu City-Kingman, AZ",,,,,,,,
Cochise County Community College District,4190 W Highway 80,Douglas,AZ,85607-6190,Cochise County,31.365757,-109.690422,"Sierra Vista-Douglas, AZ",,,,,,,,
Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,Coconino County,35.197151,-111.625936,"Flagstaff, AZ",,,,,,,,
Empire Beauty School-Chandler,2978 N Alma School Rd #1-3,Chandler,AZ,85224,Maricopa County,33.347586,-111.860423,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,Pima County,32.21901,-110.856785,"Tucson, AZ",,,,,,,,
Avalon School of Cosmetology-Mesa,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,Maricopa County,33.376583,-111.858305,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,Graham County,32.840719,-109.761664,"Safford, AZ",,,,,,,,
Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,Yavapai County,34.615678,-112.452285,"Prescott, AZ",,,,,,,,
Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261-4430,Maricopa County,33.60715,-111.846477,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,Maricopa County,33.567483,-112.188334,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,Maricopa County,33.512172,-112.129917,"Phoenix-Mesa-Scottsdale, AZ",,,,,,,,
